'seed', 'name', 'luminosity', 'mass', 'life', 'age', 'r_ecosphere'
3262130, 'stargen 3262130-0', 2.201, 1.178, 5352090834.355, 2991741949.727, 1.484
'planet_no', 'a', 'e', 'axial_tilt', 'mass', 'gas_giant', 'dust_mass', 'gas_mass', 'core_radius', 'radius', 'orbit_zone', 'density', 'orb_period', 'day', 'resonant_period', 'esc_velocity', 'surf_accel', 'surf_grav', 'rms_velocity', 'molec_weight', 'volatile_gas_inventory', 'surf_pressure', 'greenhouse_effect', 'boil_point', 'albedo', 'exospheric_temp', 'estimated_temp', 'estimated_terr_temp', 'surf_temp', 'greenhs_rise', 'high_temp', 'low_temp', 'max_temp', 'min_temp', 'hydrosphere', 'cloud_cover', 'ice_cover', 'atmosphere', 'type', 'minor_moons'
'stargen 3262130-0 1', 0.379, 0.013, 21.000, 0.000, 0, 0.000, 0.000, 2211.819, 2211.819, 1, 5.331, 78.523, 1884.556, 0, 381813.068, 329.550, 0.336, 416858.891, 819.603, 0.000, 0.000, 1, 0.000, 0.070, 19506.685, 568.130, 568.130, 531.037, -90.079, 750.229, 90.285, 753.066, 80.531, 0.000, 0.000, 0.000, '', 'Rock', 0
'stargen 3262130-0 2', 0.486, 0.019, 23.000, 0.000, 0, 0.000, 0.000, 4463.259, 4463.259, 1, 5.400, 113.945, 2734.671, 0, 775434.548, 673.610, 0.687, 325230.748, 121.040, 0.000, 0.000, 1, 0.000, 0.070, 11873.767, 501.821, 501.821, 469.058, -79.566, 675.138, 73.299, 677.902, 64.836, 0.000, 0.000, 0.000, '', 'Rock', 0
'stargen 3262130-0 3', 0.858, 0.090, 24.000, 0.000, 0, 0.000, 0.000, 6518.596, 6518.596, 1, 5.507, 267.397, 17.038, 0, 1143692.509, 1003.309, 1.023, 184168.766, 17.868, 127026.413, 137546.027, 1, 586.159, 0.520, 3807.477, 377.625, 377.625, 1205.568, 792.723, 1202.483, 1199.114, 1206.295, 1195.251, 0.000, 1.000, 0.000, '', 'Venusian', 0
'stargen 3262130-0 4', 1.437, 0.026, 33.000, 0.000, 0, 0.000, 0.000, 4306.705, 4306.705, 1, 5.394, 579.770, 19.085, 0, 747793.448, 649.214, 0.662, 109938.617, 14.893, 256.272, 78.378, 0, 313.960, 0.174, 1356.769, 291.762, 291.762, 276.508, -42.464, 291.261, 261.219, 316.869, 234.570, 0.383, 0.123, 0.071, 'O 94.1% 74mb (ipp:15); Ar 5.4% 4mb (ipp:1); CO2 0.4% 0mb (ipp:0); ', 'Terrestrial', 0
'stargen 3262130-0 5', 2.042, 0.132, 20.000, 0.000, 1, 0.000, 0.000, 16143.546, 47405.002, 1, 2.082, 981.746, 7.782, 0, 5113672.347, 2758.110,   inf, 77374.427, 0.173,   inf,   inf, 0,   inf, 0.490, 672.048, 226.132, 244.766,   inf, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 1.000, 0.000, '', 'Jovian', 0
'stargen 3262130-0 6', 4.112, 0.000, 36.000, 0.000, 1, 0.000, 0.000, 12483.032, 36810.139, 1, 1.529, 2805.214, 10.304, 0, 3403419.102, 1573.379,   inf, 38428.835, 0.129,   inf,   inf, 0,   inf, 0.469, 165.775, 160.997, 172.497,   inf, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 1.000, 0.000, '', 'Jovian', 0
'stargen 3262130-0 7', 6.302, 0.004, 24.000, 0.000, 1, 0.000, 0.000, 13350.078, 28723.820, 2, 1.217, 5323.595, 13.075, 0, 2369239.595, 977.115,   inf, 25071.297, 0.113,   inf,   inf, 0,   inf, 0.504, 70.560, 127.849, 139.329,   inf, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 1.000, 0.000, '', 'Jovian', 0
'stargen 3262130-0 8', 9.685, 0.012, 49.000, 0.003, 1, 0.000, 0.003, 24716.097, 91628.550, 2, 1.770, 10129.697, 6.071, 0, 9113692.824, 4532.397,   inf, 16314.411, 0.003,   inf,   inf, 0,   inf, 0.526, 29.878, 101.974, 112.393,   inf, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 1.000, 0.000, '', 'Jovian', 0
'stargen 3262130-0 9', 18.484, 0.059, 28.000, 0.001, 1, 0.000, 0.001, 18366.302, 60095.274, 2, 1.228, 26733.805, 8.999, 0, 4979087.338, 2062.667,   inf, 8548.268, 0.003,   inf,   inf, 0,   inf, 0.525, 8.203, 73.856, 81.356,   inf, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 1.000, 0.000, '', 'Jovian', 0
'stargen 3262130-0 10', 41.019, 0.097, 58.000, 0.000, 0, 0.000, 0.000, 4043.696, 4043.696, 3, 2.238, 88400.318, 30.136, 0, 452259.097, 252.910, 0.258, 3851.989, 0.073, 0.157, 0.017, 0, 205.707, 0.150, 1.666, 54.613, 54.613, 49.998, -9.708, 56.545, 43.533, 69.860, 29.646, 0.000, 0.000, 0.000, '', 'Rock', 0
'stargen 3262130-0 11', 48.984, 0.000, 31.000, 0.000, 1, 0.000, 0.000, 4860.661, 4860.661, 3, 2.250, 115360.748, 27.416, 0, 545044.853, 305.590, 0.312, 3225.637, 0.035, 0.274, 0.050, 0, 215.489, 0.150, 1.168, 49.976, 49.976, 45.798, -8.839, 51.318, 40.368, 66.740, 24.632, 0.000, 0.000, 0.001, '', 'Rock', 0
